l1,l2,l3
228.64333333333335,232.63333333333335,232.525
228.65906944444447,231.92658333333335,232.35668055555553
229.2295707070707,232.67015909090907,232.40518055555552
229.04666666666665,233.11785714285713,232.97327380952382
228.81165349927852,232.17431818181817,231.5758235930736
229.09237301587305,232.0221783910534,232.2494272671772
229.02843122155627,232.1142815656566,232.1179590548341
229.893561868687,232.85973430735933,233.0637022005771
228.71092063492068,232.5951984126985,232.80965079365077
228.8780833333333,232.90983333333332,233.58541666666667
228.93341915029407,232.37686086136083,232.9158330835831
230.29750595238096,233.45484523809517,233.2786964285715
230.04558913308912,233.1494325396825,233.01125976800972
228.82614203851696,231.65481931956924,231.7042903346654
229.8056471612323,232.48947725180747,233.07738610175093
228.93341915029407,232.37686086136083,232.9158330835831
229.18116666666668,232.85233333333335,233.148
229.5824146825397,232.63547817460315,233.1603908730159
227.39275,231.36208333333335,232.21875
228.05460714285712,231.85245238095246,231.8776607142858
228.5253333472083,231.7410396686647,232.1457605172605
229.42633928571428,232.8796904761905,233.09516071428573
229.4469087986962,232.48328448396293,233.19317884796223
230.7121527916528,233.9006553446553,234.12325611888116
230.22291468253974,233.58096230158728,233.85617063492063
231.99500000000003,235.1000952380952,235.73842857142853
231.5765238095238,234.56452380952382,234.93989285714287
230.55428571428573,233.9030952380952,234.48833333333332
229.18650000000002,232.45716666666667,233.45216666666667
229.4469087986962,232.48328448396293,233.19317884796223
229.9789292929293,233.34469931457434,233.8669511183261
230.48591666666667,233.47800000000004,234.19591666666668
229.4469087986962,232.48328448396293,233.19317884796223
228.9682638888889,232.06782738095237,232.5348234126984
229.29166666666669,232.7458333333333,233.35083333333333
229.4314397546898,232.8699507575758,233.7395616883117
229.4469087986962,232.48328448396293,233.19317884796223
229.4469087986962,232.48328448396293,233.19317884796223
229.76714072039078,233.49867857142857,234.13238278388275
230.55428571428573,233.9030952380952,234.48833333333332
229.9789292929293,233.34469931457434,233.8669511183261
230.57683730158737,233.41285317460316,233.91268650793648
229.18650000000002,232.45716666666667,233.45216666666667
228.5253333472083,231.7410396686647,232.1457605172605
228.1973690476191,231.6513928571429,232.3237976190477
229.17,232.15916666666664,232.99166666666665
228.17541666666668,232.13808333333336,232.71675000000002
227.895,231.54333333333332,231.70833333333331
229.4074715007214,232.11988816738835,232.28087067099565
228.78820238095238,231.0507857142857,232.2984166666667
228.71241666666663,232.479,232.84158333333338
228.93341915029407,232.37686086136083,232.9158330835831
228.65906944444447,231.92658333333335,232.35668055555553
228.21833333333328,230.61166666666665,230.7666666666667
229.4469087986962,232.48328448396293,233.19317884796223
229.342761904762,232.82894047619047,233.1661428571428
227.87196428571428,232.2322023809524,231.90541666666667
228.12857142857146,232.16482142857149,232.54937500000003
229.21255050505053,232.59904040404032,232.99666666666667
227.74257142857138,230.82885714285715,231.40248809523803
229.8056471612323,232.48947725180747,233.07738610175093
228.33950198412703,231.86492658730157,232.51343253968258
229.342761904762,232.82894047619047,233.1661428571428
229.5949891774891,232.92524603174604,232.62472222222223
229.37,233.38,233.205
230.2611666666667,234.03633333333323,234.23783333333333
228.85,233.2320238095238,233.65952380952382
226.99,232.575,232.845
226.45,232.3,233.0
227.8425,233.41833333333332,233.665
228.546,234.43669047619053,234.9616904761905
228.15,232.725,233.41
229.35968650793646,233.00091865079364,233.16129761904756
231.42582142857142,234.44333531746034,234.4114642857143
231.00742857142853,234.47132142857143,234.61834523809523
231.08333333333337,234.67166666666665,234.85666666666665
231.51833333333332,235.445,235.86
232.8816666666667,235.6131666666667,236.47350000000003
231.1539325396826,233.84454960317456,234.3557738095238
231.58473394660905,234.37773538961042,234.3571708152958
229.9789292929293,233.34469931457434,233.8669511183261
231.5765238095238,234.56452380952382,234.93989285714287
229.893561868687,232.85973430735933,233.0637022005771
229.09237301587305,232.0221783910534,232.2494272671772
229.49546825396826,231.8356587301587,232.3550793650794
229.4469087986962,232.48328448396293,233.19317884796223
231.52914285714292,234.7662083333333,235.2152916666666
231.99500000000003,235.1000952380952,235.73842857142853
